Datum;Uhrzeit;S1/2 - Solar;S7/2 - Temp. Aussen
2020-04-01;00:04:20;-3,8;-2,6
2020-04-01;00:09:20;-3,9;-2,6
2020-04-01;00:14:20;-3,9;-2,6
2020-04-01;00:19:20;-4;-2,7
2020-04-01;00:24:20;-4,1;-2,7
2020-04-01;00:29:20;-4,1;-2,7
2020-04-01;00:34:20;-4,1;-2,8
2020-04-01;00:39:20;-4,1;-2,9
2020-04-01;00:44:20;-4,3;-2,9
2020-04-01;00:49:20;-4,2;-2,9
2020-04-01;00:54:20;-4,3;-3
2020-04-01;00:59:20;-4,3;-3
2020-04-01;01:04:20;-4,5;-3,1
2020-04-01;01:09:20;-4,4;-3,1
2020-04-01;01:14:20;-4,5;-3,2
2020-04-01;01:19:20;-4,5;-3,2
2020-04-01;01:24:20;-4,6;-3,2
2020-04-01;01:29:20;-4,6;-3,3
2020-04-01;01:34:20;-4,6;-3,4
2020-04-01;01:39:20;-4,7;-3,5
2020-04-01;01:44:20;-4,7;-3,6
2020-04-01;01:49:20;-4,8;-3,6
2020-04-01;01:54:20;-4,9;-3,7
2020-04-01;01:59:20;-4,9;-3,7
2020-04-01;02:04:20;-5;-3,7
2020-04-01;02:09:20;-5,1;-3,7
2020-04-01;02:14:20;-5,1;-3,7
2020-04-01;02:19:20;-5,1;-3,8
2020-04-01;02:24:20;-5,2;-3,9
2020-04-01;02:29:20;-5,2;-4
2020-04-01;02:34:20;-5,2;-4
2020-04-01;02:39:20;-5,2;-4,1
2020-04-01;02:44:20;-5,3;-4,2
2020-04-01;02:49:20;-5,3;-4,2
2020-04-01;02:54:20;-5,3;-4,2
2020-04-01;02:59:20;-5,4;-4,2
2020-04-01;03:04:20;-5,5;-4,2
2020-04-01;03:09:20;-5,5;-4,3
2020-04-01;03:14:20;-5,6;-4,3
2020-04-01;03:19:20;-5,6;-4,3
2020-04-01;03:24:20;-5,7;-4,4
2020-04-01;03:29:20;-5,7;-4,5
2020-04-01;03:34:20;-5,8;-4,6
2020-04-01;03:39:20;-5,8;-4,6
2020-04-01;03:44:20;-5,8;-4,6
2020-04-01;03:49:20;-5,8;-4,7
2020-04-01;03:54:20;-5,9;-4,7
2020-04-01;03:59:20;-6;-4,7
