Datum;Uhrzeit;S1/2 - Solar;S7/2 - Temp. Aussen
2020-03-01;00:04:50;-1;0
2020-03-01;00:09:50;-1,2;-0,1
2020-03-01;00:14:50;-1,2;-0,2
2020-03-01;00:19:50;-1,2;-0,3
2020-03-01;00:24:50;-1,3;-0,3
2020-03-01;00:30:00;-1,3;-0,3
2020-03-01;00:35:00;-1,3;-0,3
2020-03-01;00:40:00;-1,3;-0,3
2020-03-01;00:45:00;-1,2;-0,4
2020-03-01;00:50:00;-1,3;-0,4
2020-03-01;00:55:00;-1,3;-0,4
2020-03-01;01:00:00;-1,2;-0,4
2020-03-01;01:05:00;-1,2;-0,5
2020-03-01;01:10:00;-1,2;-0,4
2020-03-01;01:15:00;-1,2;-0,3
2020-03-01;01:20:00;-1,2;-0,3
2020-03-01;01:25:00;-1,2;-0,2
2020-03-01;01:30:00;-1,1;-0,1
2020-03-01;01:35:00;-1,1;0
2020-03-01;01:40:00;-0,9;0,1
2020-03-01;01:45:00;-0,8;0,2
2020-03-01;01:50:00;-0,8;0,4
2020-03-01;01:55:00;-0,7;0,6
2020-03-01;02:00:00;-0,5;0,8
2020-03-01;02:05:00;-0,4;0,9
2020-03-01;02:10:00;-0,2;1,1
2020-03-01;02:15:00;-0,2;1,2
2020-03-01;02:20:00;-0,2;1,2
2020-03-01;02:25:00;-0,1;1,3
2020-03-01;02:30:00;0;1,4
2020-03-01;02:35:00;0;1,4
2020-03-01;02:40:00;0,1;1,5
2020-03-01;02:45:00;0,2;1,6
2020-03-01;02:50:00;0,3;1,8
2020-03-01;02:55:00;0,3;1,8
2020-03-01;03:00:00;0,3;1,8
2020-03-01;03:05:00;0,4;1,9
2020-03-01;03:10:00;0,5;2
2020-03-01;03:15:00;0,5;2,1
2020-03-01;03:20:00;0,6;2,2
2020-03-01;03:25:00;0,7;2,2
2020-03-01;03:30:00;0,8;2,2
2020-03-01;03:35:00;0,8;2,2
2020-03-01;03:40:00;0,8;2,2
2020-03-01;03:45:00;0,8;2,3
2020-03-01;03:50:00;0,9;2,4
2020-03-01;03:55:00;0,8;2,3
2020-03-01;04:00:00;0,8;2,4
2020-03-01;04:05:00;0,8;2,4
2020-03-01;04:10:00;0,9;2,5
2020-03-01;04:15:00;0,9;2,6
2020-03-01;04:20:00;1;2,5
2020-03-01;04:25:00;1;2,6
2020-03-01;04:30:00;1;2,7
2020-03-01;04:35:00;1;2,7
2020-03-01;04:40:00;1,1;2,7
2020-03-01;04:45:00;1,1;2,7
2020-03-01;04:50:00;1;2,7
2020-03-01;04:55:00;1,1;2,7
2020-03-01;05:00:00;1,1;2,7
2020-03-01;05:05:00;1,1;2,7
2020-03-01;05:10:00;1,2;2,7
2020-03-01;05:15:00;1,1;2,7
2020-03-01;05:20:00;1,1;2,7
