Datum;Uhrzeit;S1/2 - Solar;S7/2 - Temp. Aussen
2020-01-01;00:03:30;-1,5;0,4
2020-01-01;00:08:30;-1,5;0,3
2020-01-01;00:13:30;-1,5;0,3
2020-01-01;00:18:30;-1,5;0,2
2020-01-01;00:23:30;-1,5;0,2
2020-01-01;00:28:30;-1,5;0,2
2020-01-01;00:33:30;-1,5;0,1
2020-01-01;00:38:30;-1,6;0,1
2020-01-01;00:43:30;-1,5;0
2020-01-01;00:48:30;-1,6;-0,1
2020-01-01;00:53:30;-1,5;-0,1
2020-01-01;00:58:30;-1,6;-0,1
2020-01-01;01:03:30;-1,6;-0,2
2020-01-01;01:08:30;-1,6;-0,2
2020-01-01;01:13:30;-1,6;-0,2
2020-01-01;01:18:30;-1,6;-0,2
2020-01-01;01:23:30;-1,6;-0,2
2020-01-01;01:28:30;-1,6;-0,3
2020-01-01;01:33:30;-1,7;-0,2
2020-01-01;01:38:30;-1,6;-0,2
2020-01-01;01:43:30;-1,6;-0,2
2020-01-01;01:48:30;-1,6;-0,2
2020-01-01;01:53:30;-1,7;-0,2
2020-01-01;01:58:30;-1,6;-0,2
2020-01-01;02:03:30;-1,6;-0,1
2020-01-01;02:08:30;-1,6;-0,1
2020-01-01;02:13:30;-1,6;-0,2
2020-01-01;02:18:30;-1,6;-0,2
2020-01-01;02:23:30;-1,6;-0,2
2020-01-01;02:28:30;-1,6;-0,2
2020-01-01;02:33:30;-1,6;-0,1
2020-01-01;02:38:30;-1,6;-0,1
2020-01-01;02:43:30;-1,6;-0,2
2020-01-01;02:48:30;-1,6;-0,1
2020-01-01;02:53:30;-1,6;-0,1
2020-01-01;02:58:30;-1,6;-0,1
2020-01-01;03:03:30;-1,6;0
2020-01-01;03:08:30;-1,5;0
2020-01-01;03:13:30;-1,6;0,1
2020-01-01;03:18:30;-1,6;0
2020-01-01;03:23:30;-1,5;0,1
2020-01-01;03:28:30;-1,5;0,1
2020-01-01;03:33:30;-1,5;0,1
2020-01-01;03:38:30;-1,5;0,1
2020-01-01;03:43:30;-1,5;0
2020-01-01;03:48:30;-1,6;-0,1
2020-01-01;03:53:30;-1,6;-0,2
2020-01-01;03:58:30;-1,8;-0,3
2020-01-01;04:03:30;-1,8;-0,5
2020-01-01;04:08:30;-2;-0,5
2020-01-01;04:13:30;-2;-0,6
2020-01-01;04:18:30;-2,1;-0,8
2020-01-01;04:23:30;-2,3;-0,8
2020-01-01;04:28:30;-2,4;-0,8
2020-01-01;04:33:30;-2,5;-0,9
2020-01-01;04:38:30;-2,5;-0,9
2020-01-01;04:43:30;-2,6;-1
2020-01-01;04:48:30;-2,7;-1
2020-01-01;04:53:30;-2,8;-1
2020-01-01;04:58:30;-2,9;-1,1
2020-01-01;05:03:30;-3;-1,1
2020-01-01;05:08:30;-3,1;-1,2
2020-01-01;05:13:30;-3,1;-1,3
